team,player,colorway,size,quantity
Cleveland Cavaliers,Kyrie Irving,Black,L,0
Cleveland Cavaliers,Kyrie Irving,Black,M,1
Cleveland Cavaliers,Kyrie Irving,Black,S,0
Cleveland Cavaliers,Kyrie Irving,Black,XL,0
Cleveland Cavaliers,Kyrie Irving,Black,XXL,0
Cleveland Cavaliers,Kyrie Irving,Blue,L,0
Cleveland Cavaliers,Kyrie Irving,Blue,M,1
Cleveland Cavaliers,Kyrie Irving,Blue,S,0
Cleveland Cavaliers,Kyrie Irving,Blue,XL,0
Cleveland Cavaliers,Kyrie Irving,Blue,XXL,0
Cleveland Cavaliers,Kyrie Irving,Red,L,1
Cleveland Cavaliers,Kyrie Irving,Red,M,0
Cleveland Cavaliers,Kyrie Irving,Red,S,0
Cleveland Cavaliers,Kyrie Irving,Red,XL,0
Cleveland Cavaliers,Kyrie Irving,Red,XXL,0
Cleveland Cavaliers,Kyrie Irving,White,L,0
Cleveland Cavaliers,Kyrie Irving,White,M,1
Cleveland Cavaliers,Kyrie Irving,White,S,0
Cleveland Cavaliers,Kyrie Irving,White,XL,0
Cleveland Cavaliers,Kyrie Irving,White,XXL,1
Cleveland Cavaliers,Kyrie Irving,Yellow,L,0
Cleveland Cavaliers,Kyrie Irving,Yellow,M,1
Cleveland Cavaliers,Kyrie Irving,Yellow,S,1
Cleveland Cavaliers,Kyrie Irving,Yellow,XL,0
Cleveland Cavaliers,Kyrie Irving,Yellow,XXL,0
Cleveland Cavaliers,Kyrie Irving,Xmas Red,L,0
Cleveland Cavaliers,Kyrie Irving,Xmas Red,M,1
Cleveland Cavaliers,Kyrie Irving,Xmas Red,S,1
Cleveland Cavaliers,Kyrie Irving,Xmas Red,XL,0
Cleveland Cavaliers,Kyrie Irving,Xmas Red,XXL,0
Cleveland Cavaliers,Kyrie Irving,Red Cavs,L,0
Cleveland Cavaliers,Kyrie Irving,Red Cavs,M,1
Cleveland Cavaliers,Kyrie Irving,Red Cavs,S,1
Cleveland Cavaliers,Kyrie Irving,Red Cavs,XL,0
Cleveland Cavaliers,Kyrie Irving,Red Cavs,XXL,0
Cleveland Cavaliers,LeBron James,Black,L,1
Cleveland Cavaliers,LeBron James,Black,M,3
Cleveland Cavaliers,LeBron James,Black,S,0
Cleveland Cavaliers,LeBron James,Black,XL,0
Cleveland Cavaliers,LeBron James,Black,XXL,0
Cleveland Cavaliers,LeBron James,Red,L,1
Cleveland Cavaliers,LeBron James,Red,M,1
Cleveland Cavaliers,LeBron James,Red,S,1
Cleveland Cavaliers,LeBron James,Red,XL,0
Cleveland Cavaliers,LeBron James,Red,XXL,0
Cleveland Cavaliers,LeBron James,White,L,0
Cleveland Cavaliers,LeBron James,White,M,2
Cleveland Cavaliers,LeBron James,White,S,1
Cleveland Cavaliers,LeBron James,White,XL,0
Cleveland Cavaliers,LeBron James,White,XXL,0
Cleveland Cavaliers,LeBron James,Xmas Red,L,0
Cleveland Cavaliers,LeBron James,Xmas Red,M,2
Cleveland Cavaliers,LeBron James,Xmas Red,S,1
Cleveland Cavaliers,LeBron James,Xmas Red,XL,0
Cleveland Cavaliers,LeBron James,Xmas Red,XXL,0
Cleveland Cavaliers,LeBron James,Blue1516,L,0
Cleveland Cavaliers,LeBron James,Blue1516,M,0
Cleveland Cavaliers,LeBron James,Blue1516,S,2
Cleveland Cavaliers,LeBron James,Blue1516,XL,0
Cleveland Cavaliers,LeBron James,Blue1516,XXL,1
Cleveland Cavaliers,LeBron James,Red Nike,L,1
Cleveland Cavaliers,LeBron James,Red Nike,M,1
Cleveland Cavaliers,LeBron James,Red Nike,S,3
Cleveland Cavaliers,LeBron James,Red Nike,XL,0
Cleveland Cavaliers,LeBron James,Red Nike,XXL,0
Cleveland Cavaliers,LeBron James,White Nike,L,1
Cleveland Cavaliers,LeBron James,White Nike,M,2
Cleveland Cavaliers,LeBron James,White Nike,S,2
Cleveland Cavaliers,LeBron James,White Nike,XL,0
Cleveland Cavaliers,LeBron James,White Nike,XXL,0
Cleveland Cavaliers,LeBron James,Black Nike,L,0
Cleveland Cavaliers,LeBron James,Black Nike,M,3
Cleveland Cavaliers,LeBron James,Black Nike,S,2
Cleveland Cavaliers,LeBron James,Black Nike,XL,0
Cleveland Cavaliers,LeBron James,Black Nike,XXL,0
Cleveland Cavaliers,Derrick Rose,Red Nike,L,0
